Local,Data do sistema,Horario do sistema,Data,Horario,Temperatura do exterior(°C),Sensor de temperatura 4(°C),Sensor 1 de humidade (%),Estado do tunel,Sensor de temperatura 1 (°C),Sensor de temperatura 5 (°C),Sensor 2 de humidade (%),Pedido da refrigeracao do tunel (%),Sensor de temperatura 2 (°C),Temperatura (°C),Sensor de pressao (Pa),Pedido de pressao estatica (Pa),Sensor de temperatura 3 (°C),Humidade (%),Velocidade do ar (m/s)
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
amaratuba,14/02/2022,00:13,01/10/2021,11:32,-99.8,25.0,77,,28.2,27.1,88,100,28.1,10.0,53.4,40.0,27.6,85,2.9
